#now;dir;sched;esti;lu;typ;al;fnr;alname;iata;ac;reg;status;icao;apname;country
0 05:00;A;0 22:30 /*=12*/;;;P;TP;578;TAP Portugal;LIS;A320;;;LPPT;Lissabon;Portugal
0 06:00;A;0 22:30;;;P;TP;578;TAP Portugal;LIS;A320;;;LPPT;Lissabon;Portugal
0 07:00;A;0 22:30;;;P;TP;578;TAP Portugal;LIS;A320;;;LPPT;Lissabon;Portugal
0 08:00;A;0 22:30;;;P;TP;578;TAP Portugal;LIS;A320;;;LPPT;Lissabon;Portugal
0 09:00;A;0 22:30;;;P;TP;578;TAP Portugal;LIS;A320;;;LPPT;Lissabon;Portugal
0 10:00;A;0 22:30;;;P;TP;578;TAP Portugal;LIS;A320;;;LPPT;Lissabon;Portugal
0 11:00;A;0 22:30;;;P;TP;578;TAP Portugal;LIS;A320;;;LPPT;Lissabon;Portugal
0 12:00;A;0 22:30;;;P;TP;578;TAP Portugal;LIS;A320;;;LPPT;Lissabon;Portugal
0 13:00;A;0 22:30;;;P;TP;578;TAP Portugal;LIS;A320;;;LPPT;Lissabon;Portugal
0 14:00;A;0 22:30;;;P;TP;578;TAP Portugal;LIS;A320;;;LPPT;Lissabon;Portugal
0 15:00;A;0 22:30;;;P;TP;578;TAP Portugal;LIS;A320;;;LPPT;Lissabon;Portugal
0 16:00;A;0 22:30;;;P;TP;578;TAP Portugal;LIS;A320;;;LPPT;Lissabon;Portugal
0 17:00;A;0 22:30;;;P;TP;578;TAP Portugal;LIS;A320;;;LPPT;Lissabon;Portugal
0 18:00;A;0 22:30;;;P;TP;578;TAP Portugal;LIS;A320;;;LPPT;Lissabon;Portugal
0 19:00;A;0 22:30;;;P;TP;578;TAP Portugal;LIS;A320;;;LPPT;Lissabon;Portugal
0 20:00;A;0 22:30;;;P;TP;578;TAP Portugal;LIS;A320;;;LPPT;Lissabon;Portugal
0 21:00;A;0 22:30;;;P;TP;578;TAP Portugal;LIS;A320;CSTNP /*=7,3*/;;LPPT;Lissabon;Portugal
0 22:00;A;0 22:30;;;P;TP;578;TAP Portugal;LIS;A320;CSTNP;;LPPT;Lissabon;Portugal
0 23:00;A;0 22:30;;;P;TP;578;TAP Portugal;LIS;A320;CSTNP;gelandet;LPPT;Lissabon;Portugal
0 23:00;A;1 22:30 /*=48*/;;;P;TP;578;TAP Portugal;LIS;A320;;;LPPT;Lissabon;Portugal
1 05:00;A;0 22:30;;;P;TP;578;TAP Portugal;LIS;A320;;;LPPT;Lissabon;Portugal
1 06:00;A;0 22:30;;;P;TP;578;TAP Portugal;LIS;A320;;;LPPT;Lissabon;Portugal
1 07:00;A;0 22:30;;;P;TP;578;TAP Portugal;LIS;A320;;;LPPT;Lissabon;Portugal
1 08:00;A;0 22:30;;;P;TP;578;TAP Portugal;LIS;A320;;;LPPT;Lissabon;Portugal
1 09:00;A;0 22:30;;;P;TP;578;TAP Portugal;LIS;A320;;;LPPT;Lissabon;Portugal
1 10:00;A;0 22:30;;;P;TP;578;TAP Portugal;LIS;A320;;;LPPT;Lissabon;Portugal
1 11:00;A;0 22:30;;;P;TP;578;TAP Portugal;LIS;A320;;;LPPT;Lissabon;Portugal
1 12:00;A;0 22:30;;;P;TP;578;TAP Portugal;LIS;A320;;;LPPT;Lissabon;Portugal
1 13:00;A;0 22:30;;;P;TP;578;TAP Portugal;LIS;A320;;;LPPT;Lissabon;Portugal
1 14:00;A;0 22:30;;;P;TP;578;TAP Portugal;LIS;A320;;;LPPT;Lissabon;Portugal
1 15:00;A;0 22:30;;;P;TP;578;TAP Portugal;LIS;A320;;;LPPT;Lissabon;Portugal
1 16:00;A;0 22:30;;;P;TP;578;TAP Portugal;LIS;A320;;;LPPT;Lissabon;Portugal
1 17:00;A;0 22:30;;;P;TP;578;TAP Portugal;LIS;A320;;;LPPT;Lissabon;Portugal
1 18:00;A;0 22:30;;;P;TP;578;TAP Portugal;LIS;A320;;;LPPT;Lissabon;Portugal
1 19:00;A;0 22:30;;;P;TP;578;TAP Portugal;LIS;A320;;;LPPT;Lissabon;Portugal
1 20:00;A;0 22:30;;;P;TP;578;TAP Portugal;LIS;A320;;;LPPT;Lissabon;Portugal
1 21:00;A;0 22:30;;;P;TP;578;TAP Portugal;LIS;A320;CSTNP /*=7,6*/;;LPPT;Lissabon;Portugal
1 22:00;A;0 22:30;;;P;TP;578;TAP Portugal;LIS;A320;CSTNP;;LPPT;Lissabon;Portugal
1 23:00;A;0 22:30;;;P;TP;578;TAP Portugal;LIS;A320;CSTNP;gelandet;LPPT;Lissabon;Portugal
1 23:00;A;1 22:30 /*=72*/;2 05:00;;P;TP;578;TAP Portugal;LIS;A320;;verspätet auf 00.00.;LPPT;Lissabon;Portugal
